anger;['soal', 'jln', 'jatibaru', 'polisi', 'tdk', 'bs', 'gertak', 'gubernur', 'emangny', 'polisi', 'tdk', 'ikut', 'pmbhasan', 'jgn', 'politik', 'atur', 'wilayah', 'hak', 'gubernur', 'soal', 'tn', 'abang', 'soal', 'turun', 'turun', 'pelik', 'perlu', 'sabar', 'username', 'username', 'url']
anger;['sama', 'cewe', 'lho', 'kayak', 'harus', 'bisa', 'lebih', 'rasain', 'lah', 'yang', 'harus', 'sibuk', 'jaga', 'diri', 'rasain', 'sakit', 'haid', 'dan', 'panik', 'pulang', 'malem', 'sendiri', 'gimana', 'orang', 'asing', 'wajar', 'banyak', 'korban', 'yang', 'takut', 'curhat', 'bukan', 'bela', 'malah', 'hujat']
happy;['kepingin', 'gudeg', 'mbarek', 'bu', 'hj', 'amad', 'foto', 'dari', 'google', 'sengaja', 'biar', 'teman', 'jg', 'bayang', 'bagi', 'itu', 'indah']
anger;['jln', 'jatibaru', 'bagi', 'dari', 'wilayah', 'tn', 'abang', 'atur', 'wilayah', 'tgg', 'jwb', 'dan', 'wwnang', 'gub', 'tng', 'abng', 'soal', 'rumit', 'sejak', 'gub', 'trdahulu', 'skrg', 'sedng', 'benah', 'agr', 'bermnfaat', 'semua', 'pihak', 'mohon', 'yg', 'punya', 'otak', 'pikir', 'dgn', 'wajar', 'kecuali', 'otak', 'butek', 'ya', 'kamu', 'url']
happy;['sharing', 'alam', 'aja', 'kemarin', 'jam', 'batalin', 'tiket', 'di', 'stasiun', 'pasar', 'senen', 'lancar', 'antri', 'tidak', 'terlalu', 'rame', 'menit', 'dan', 'beress', 'semua', 'mungkin', 'bisa', 'coba', 'twips', 'di', 'jam', 'segitu', 'cc', 'username']
anger;['dari', 'sekian', 'banyak', 'thread', 'yang', 'aku', 'baca', 'thread', 'ini', 'paling', 'aneh', 'sih', 'dalam', 'tulis', 'sumpah', 'aneh', 'bgt', 'mau', 'ngatain', 'lebay', 'aja', 'segala', 'bikin', 'thread', 'hadeh', 'aku', 'juga', 'ga', 'jago', 'nulis', 'tapi', 'tulis', 'aku', 'ga', 'beranta', 'thread', 'mbak']
happy;['sharing', 'sama', 'temen', 'tuh', 'emg', 'guna', 'bgt', 'saat', 'lu', 'ngerasa', 'masalah', 'lu', 'berat', 'bgt', 'nyata', 'temen', 'kita', 'sendiri', 'punya', 'masalah', 'lebih', 'berat', 'dr', 'kita', 'malah', 'masalah', 'kita', 'ngga', 'ada', 'apa', 'banding', 'masalah', 'dia']
sadness;['orang', 'lain', 'kalau', 'pake', 'ponco', 'itu', 'buat', 'jas', 'hujan', 'nah', 'dia', 'pake', 'buat', 'kasur', 'ya', 'tadi', 'gara', 'saking', 'gak', 'punya', 'apa', 'mamak', 'bilang', 'kami', 'tuh', 'di', 'awal', 'pernik', 'gak', 'ada', 'ngalamin', 'bulan', 'madu', 'kayak', 'skrg', 'org', 'tidur', 'nya', 'aja', 'pake', 'ponco', 'gimane', 'mau', 'bulan', 'madu']
anger;['contoh', 'mereka', 'yg', 'gemar', 'sudut', 'teriak', 'paling', 'toleran', 'tp', 'gemar', 'tuduh', 'gemar', 'men-judge', 'orang', 'dasar', 'versi', 'mereka', 'cukup', 'tau', 'saja']
sadness;['pulang', 'udah', 'h-', 'lebaran', 'dilema', 'sekali', 'seperti', 'tidak', 'bisa', 'laku', 'apa', 'rumah', 'belum', 'lebaran', 'buka', 'puasa', 'bareng', 'cuman', 'hari', 'sama', 'keluarga', 'begitu', 'juga', 'sahur']
