0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186;1841;4217;798;222;517;6278;774;6279;798;222;212;6280;396;492;645;1842;702;774;186;4218;775;186;518;518;6281;304;376;1;1;21;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;546;744;142;55;15;45;1675;104;4;55;547;366;77;1675;118;2075;2;1076;173;466;69;147;13;1445;821;46;576;4;38;984;68;703;93;1133;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4219;6282;6283;822;6284;6285;274;32;1446;884;109;204;150;590;133;8;294;3
0;0;0;0;0;0;0;0;0;1841;4217;133;32;1842;4218;775;645;1842;4220;4221;2;6286;1021;4222;6287;186;2726;646;1021;6288;367;6289;3279;6290;6291;48;567;414;3;82;385;154;206;821;1134;385;6292;11;31;21;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2076;501;19;415;136;2727;776;5;1276;858;4223;679;722;39;285;663;629;2;6293;48;119;15;187;6294;5;136;1135;949;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;32;823;46;1022;4;6;176;1022;7;132;506;44;88;416;647;506;94;22;1023;859;19;377;78;1022;2077;6;34;14;985;1447;16;416;6;14;1843;1022;338;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2076;10;148;128;482;493;94;80;165;453;225;165;577;94;101;148;20;69;82;225;45;577;214;20;93;225;20;249;9;26;680;225;18;3
0;0;0;0;0;13;66;60;124;4224;8;30;6295;723;386;18;124;30;1357;11;247;444;1277;35;82;26;2078;106;129;128;5;275;6296;35;9;1844;190;2079;142;367;134;188;50;19;124;4224;2360;22;190;2079;5
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;799;53;3;2361;1358;860;132;3280;67;2361;1561;2361;6297;13;568;1202;53;378;57;107;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;33;2080;387;1845;143;125;39;15;156;26;115;97;387;189;379;424;454;56;10;296;197;34;664;5
0;0;0;0;0;0;0;0;0;777;681;356;198;116;313;50;182;10;2081;107;60;4;66;135;107;40;263;1448;23;392;861;89;39;9;2728;4225;40;263;1562;314;198;4;1676;83;483;483;560;107;2081;21;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3281;1677;6298;286;4226;53;1077;315;50;912;23;2082;34;1678;53;1203;1359;74;4227;76;11;1677;151;9;214;467;1679;440;4228;367;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;380;15;268;1278;1279;4229;10;61;2729;4230;6299;6300;6301;6302;6303;6304;1;1360;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;138;101;201;237;9;133;4;455;144;20;1846;37;79;2730;32;79;1847;548;20;174;89;1847;548;80;211;20;152;159;1848;2;1849;77;20;132;169;5
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6305;2731;1204;48;35;98;4231;35;98;986;35;98;2732;4232;2733;79;71;10;10;1204;1
0;0;0;0;0;0;0;72;34;162;2362;3282;950;1136;3;6306;11;3283;14;241;154;950;824;145;3;78;618;425;1361;49;2734;197;107;39;9;630;36;156;45;316;6307;3;950;535;91;401;6308;242;578;21;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;468;3;75;862;987;175;30;52;41;745;2;445;885;12;579;1078;3;75;175;4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1850;111;121;11;4233;1357;72;6;188;121;212;188;22;12;26;121;176;124;4234;2078;6309;5;296;6310;1
0;0;0;0;0;0;2080;22;23;800;663;94;665;722;155;536;9;343;1851;2363;6311;665;14;122;338;3;580;23;6312;722;2735;6313;317;167;73;171;48;142;99;519;99;1563;746;988;73;989;2;173;256;171;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;990;279;7;2083;4235;67;6314;1;39;294;6315;69;279;1079;6316;81;604;3284;6317;64;6318;95;6319;1449;2084;1;314;21;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1450;217;2;176;97;456;11;33;263;111;108;102;14;645;724;548;1080;253;19;1
